Blog	four	looking	second	here	k	music	until	example	want	travel	feature	wrong	fix	easier	series	wasn	service	needed	project	release	best	country	asked	chrome	much	life	worked	things	had	easy	possible	right	old	continue	dollars	support	call	happy	inside	leave	team	along	love	working	awesome	such	years	course	didn	internet	million	quite	city	future	san	say	saw	note	take	ways	slow	going	sites	jobs	screen	many	photos	single	technology	being	around	world	power	favorite	image	her	complete	age	am	having	original	tv	th	large	small	past	hours	social	action	via	company	science	states	huge	its	always	found	really	self	also	play	sometimes	set	see	last	whole	read	recent	person	behind	couple	d	anything	into	link	line	posted	us	ago	results	try	video	let	great	makes	tools	next	process	high	move	doing	could	david	system	haven	fact	bring	should	hope	means	following	stuff	edition	email	co	android	off	less	web	five	become	places	problem	chance	worth	above	told	word	work	interview	after	order	office	then	them	network	another	john	do	away	terms	com	air	hand	photo	thanks	board	night	comments	post	months	way	war	update	together	cost	change	live	car	heart	write	product	goal	remember	still	now	year	space	shows	care	couldn	yourself	friend	than	browser	online	price	only	between	article	comes	these	media	thinking	real	early	amp	business	start	lot	trying	building	since	month	very	family	ask	finally	almost	site	history	help	soon	actually	beyond	event	put	american	mobile	latest	pretty	during	x	close	won	probably	both	else	look	while	guide	ready	used	user	game	step	computer	doesn	happens	youtube	go	does	facebook	started	control	links	software	including	him	hands	times	data	exactly	need	able	sent	based	she	state	key	party	well	page	twitter	home	he	piece	star	friends	using	companies	likely	even	ever	never	room	give	answer	before	personal	better	weeks	went	side	open	content	isn	features	matter	mind	seen	seem	don	m	stop	bad	decided	said	against	appeared	three	make	left	yet	down	weekend	daily	show	did	run	visit	making	sunday	may	designed	maybe	talk	nbsp	group	interesting	thing	think	long	little	anyone	were	especially	black	get	nearly	morning	enough	reading	across	according	among	mark	those	different	pay	same	running	money	either	images	broken	e	videos	again	important	u	starting	public	search	two	share	needs	coming	through	someone	button	everyone	house	hard	idea	done	least	part	built	click	build	tool	most	services	find	please	point	simple	simply	create	secret	understand	fun	itself	spend	cup	big	bit	google	often	back	per	forward	entire	others	named	ll	day	text	national	taking	value	ios	thought	add	works	students	actual	buy	minutes	under	every	school	changes	would	phone	must	me	join	keep	end	over	writing	each	saturday	driving	got	free	days	where	already	top	too	took	talking	though	watch	amazon	report	full	however	news	experience	several	gave	everything	head	check	no	longer	water	today	information	platform	name	turn	place	given	white	released	any	sure	later	written	outside	come	case	myself	good	html	events	week	without	model	seems	blog	oh	there	follow	program	far	list	design	version	known	v	rather	short	might	number	man	friday	feel	story	store	kind	added	nothing	windows	his	hit	wrote	art	recently	attention	reasons	question	fast	called	nice	users	helping	once	issues	apple	app	use	few	women	getting	something	united	six	instead	looks	our	york	their	which	who	why	local	view	available	job	april	gets	half	other	know	press	because	says	own	apps	made	whether	book	june
Matt Cutts: Gadgets, Google, and SEO	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	2	2	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	2	2	0	1	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	1	0	3	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	1	0	0	2	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	3	2	1	2	0	0	0	0	1	0	0	1	0	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	5	0	3	0	0	0	0	0	3	5	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	3	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	2	0	1	1	2	0	0	0
How to Change the World	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	10	0
Gothamist	1	0	1	2	2	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	2	4	1	1	1	0	0	0	0	0	0	0	1	0	0	1	3	0	2	0	0	8	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1	1	3	0	0	0	3	0	1	0	0	7	0	1	0	2	0	0	1	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	2	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	9	1	0	4	1	0	2	1	1	1	0	1	0	0	0	0	1	4	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	6	5	0	6	0	0	1	3	4	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	2	1	2	0	0	0	0	1	0	0	0	2	3	1	0	0	0	0	0	3	1	1	0	1	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	4	1	2	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	4	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	3	4	0	0	3	1	1	0	1	2	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	3	3	0	2	3	0	0	1	0	1	0	0	1	0	2	0	0	4	0	0	0	1	0	1	4	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	6	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	4	5	2	1	4	0	0	0	0	0	0	1	0	0	0	0	2	3	1	0	0	0	0	0
PaulStamatiou.com - Tech News, Reviews and Guides	2	16	12	54	3	15	28	43	88	6	26	5	6	13	5	14	23	18	5	0	37	2	11	23	114	19	13	47	80	25	11	56	27	4	1	15	12	10	11	8	13	13	29	52	2	29	22	25	36	6	5	19	3	15	8	16	2	16	52	9	7	44	15	4	60	51	107	12	3	39	50	12	9	6	102	2	5	3	23	43	2	11	1	28	20	13	23	9	11	18	20	0	9	9	23	23	24	43	3	73	19	3	50	71	45	5	85	10	12	6	0	57	20	95	19	17	2	23	14	16	18	13	33	34	22	9	39	36	17	7	21	42	10	7	13	4	3	52	4	14	9	17	6	82	2	71	24	22	41	2	8	8	9	5	7	17	5	4	55	2	69	2	19	87	123	16	35	1	139	20	5	51	14	1	123	11	8	4	10	143	16	49	0	15	9	6	23	10	2	3	22	34	3	11	43	110	28	8	5	8	6	11	7	65	40	8	6	146	27	20	16	49	95	19	13	13	51	5	25	31	20	9	43	27	32	15	8	6	11	101	7	29	11	31	5	5	21	0	101	6	25	15	90	13	17	20	29	8	42	51	9	6	45	106	4	21	14	32	10	3	37	28	14	34	13	11	9	19	3	1	21	45	18	78	23	14	18	0	8	13	4	45	63	62	21	13	4	1	24	60	4	14	58	17	21	2	11	3	34	7	69	9	8	13	27	79	8	14	8	21	7	9	94	110	9	6	18	12	1	4	12	54	17	26	29	4	7	25	26	38	7	10	2	31	6	8	13	0	11	19	42	40	23	21	4	31	5	3	121	4	4	18	19	6	0	3	6	44	34	6	43	33	11	13	55	5	12	3	22	17	0	13	7	61	25	28	11	12	37	15	29	17	1	27	21	32	10	48	10	23	19	6	60	12	45	9	26	20	13	36	4	3	4	9	13	1	27	45	63	24	54	22	2	10	9	4	82	31	33	0	8	16	18	21	26	19	0	6	8	11	3	37	2	9	92	25	18	182	6	32	51	40	15	46	0	2	33	11	17	68	21	20	57	15	20	27	10	46	3	17	18	14	38	25	6	45	14	9	82	8	0	10	8	2	28	8	12	10	3	4	74	33	29	1	6	27	19	20	46	32	12	38	26	6	17	91	9	132	8	6	12	15	83	43	3	9	23	3	14	11	0	0	10	6	15	16	13	8	1	13	6	7	4	18	5	4	2	14	18	13	63	3	10	18	23	80	156	88	0	33	48	1	4	30	51	76	4	93	56	16	37	9	10	8	12	2	10	12	71	46	3	25	4	46	32	28	6	8	1
BuzzMachine	0	0	0	7	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	2	0	1	1	1	0	1	0	1	4	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	1	2	1	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	3	2	0	3	0	2	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	1	0	0	0	0	1	0	2	0	2	0	0	2	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Joi Ito's Web	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	2	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	2	0	0	1	0	0	2	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	1	0	2	1	0	0	0	2	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	8	0
Joho the Blog	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	3	1	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	1	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0
NewsBusters - Exposing Liberal Media Bias	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
The Official Google Blog	4	12	2	6	3	3	0	7	10	4	1	2	0	6	2	3	2	1	9	0	7	5	2	9	2	6	2	8	2	2	5	3	4	3	2	6	2	2	3	2	13	1	2	10	1	3	11	5	0	2	12	0	15	3	1	4	3	2	11	6	1	7	1	2	1	12	9	2	12	5	12	27	4	5	1	8	1	3	1	4	2	2	7	1	4	8	3	1	1	0	0	5	2	1	10	5	1	2	8	16	6	0	3	19	14	0	0	3	3	4	3	8	0	7	0	0	25	8	4	3	5	7	1	5	2	2	9	2	9	3	4	7	2	0	0	5	7	2	6	4	0	1	0	0	3	5	10	6	9	3	0	3	5	4	1	0	0	9	22	0	20	1	2	7	15	6	5	3	11	2	4	1	3	1	3	4	1	1	2	2	2	8	0	1	4	1	2	3	9	2	0	5	5	3	6	27	15	7	1	1	0	0	0	34	1	2	0	4	1	0	1	14	2	1	5	5	0	1	5	6	1	3	15	4	2	4	3	4	2	3	6	31	2	2	1	1	2	5	5	2	1	5	0	1	7	0	8	0	9	8	0	2	3	1	5	2	8	4	1	3	11	1	1	8	0	0	3	5	7	2	3	29	1	11	5	0	6	8	5	1	2	16	3	1	9	11	2	4	0	15	2	1	20	6	2	2	6	0	5	0	10	0	2	1	2	2	0	0	0	2	0	2	7	1	2	1	0	1	3	0	5	25	2	3	5	9	2	4	0	5	5	11	3	17	6	1	3	10	4	0	3	2	4	2	4	22	3	2	26	4	1	2	2	6	4	2	2	7	6	1	3	3	2	0	2	1	0	7	1	4	10	7	12	23	11	3	0	3	17	1	1	1	3	4	6	2	3	8	4	2	4	3	8	1	10	1	4	3	2	12	2	5	2	1	2	3	2	2	92	2	10	2	3	1	7	1	20	25	0	7	2	0	4	2	2	5	25	0	1	1	2	10	12	1	9	10	0	1	4	5	3	11	0	13	3	15	5	4	4	14	8	13	4	4	0	3	1	2	0	7	0	8	2	1	4	3	2	2	11	0	3	15	17	0	2	4	15	1	3	2	3	5	1	0	4	3	1	0	5	1	2	42	7	1	2	6	0	16	2	4	4	4	3	4	3	2	1	0	3	7	0	2	1	7	2	1	3	0	0	13	5	0	2	4	3	1	2	0	1	0	0	3	0	3	0	13	14	12	4	4	3	2	4	2	1	54	4	31	16	23	7	2	16	7	5	3	2	1	19	7	1	5	1	9	16	9	4	2	2
kottke.org	2	2	1	6	1	1	5	2	4	0	2	0	0	0	6	0	2	0	1	1	1	2	1	0	6	11	2	11	9	0	2	3	5	0	2	0	0	1	0	0	1	0	1	1	1	1	7	3	9	6	1	2	3	1	0	2	3	1	3	1	4	6	0	0	1	4	1	2	0	9	5	12	0	4	0	4	0	2	0	5	0	2	4	2	5	1	0	1	0	16	3	5	2	2	3	2	0	10	2	5	1	0	2	5	2	4	4	1	0	2	2	3	2	7	1	0	2	5	3	0	0	25	2	7	7	0	1	0	4	0	1	4	3	4	1	1	0	3	0	2	0	4	3	0	0	0	2	3	5	4	1	0	2	0	1	3	1	0	4	1	4	3	2	10	13	0	2	0	8	5	1	1	2	2	1	2	9	0	1	2	0	3	6	1	1	1	0	0	3	2	0	0	1	1	5	11	4	4	7	0	2	2	1	8	0	1	0	8	1	1	1	11	0	0	0	3	2	4	2	2	1	7	4	0	3	2	0	1	1	1	9	0	0	4	2	0	2	1	2	2	0	2	0	3	0	2	1	2	3	5	3	0	2	0	5	0	2	1	0	1	4	0	0	3	5	0	0	2	3	0	3	1	1	1	2	0	0	5	2	0	1	6	1	0	1	10	2	10	4	3	0	5	8	3	0	1	1	0	4	3	6	1	0	0	2	1	3	0	2	1	2	0	3	8	1	2	0	0	1	0	5	6	1	1	1	0	0	3	6	0	2	5	0	3	5	0	2	208	0	2	3	1	1	4	0	6	3	2	4	0	3	2	1	2	0	0	2	4	2	0	0	0	2	0	0	0	2	0	1	1	2	0	1	0	8	0	0	2	4	1	0	1	0	0	1	1	3	2	1	0	2	0	4	2	1	1	1	0	1	1	0	1	1	2	0	0	2	0	5	4	5	4	1	2	1	2	2	9	1	1	1	1	0	2	1	1	1	1	3	2	0	2	3	0	6	0	1	6	0	2	2	5	2	6	1	1	4	2	1	4	3	2	4	5	4	3	3	14	0	2	1	1	1	2	0	2	0	1	15	3	0	5	1	0	2	3	0	2	5	1	1	0	1	1	0	7	2	1	2	0	3	1	1	1	0	0	2	10	0	0	2	0	7	1	2	0	1	2	5	1	2	1	3	3	2	1	0	1	0	20	3	2	3	1	2	0	2	0	5	2	0	0	2	0	3	2	4	4	0	2	3	2	3	3	1	9	3	19	9	8	7	1	1	3	2	0	0	0	5	6	1	2	3	0	1	6	1	9	2
